"","Alveolar.bipotent.progenitor","Alveolar.macrophage.Ear2.high","Alveolar.macrophage.Pclaf.high","AT1.cell","AT2.cell","B.cell","Basophil","Ciliated.cell","Clara.cell","Dendritic.cell.Gngt2.high","Dendritic.cell.H2.M2.high","Dendritic.cell.Mgl2.high","Dendritic.cell.Tubb5.high","Dendritic.cell.Naaa.high","Endothelial.cell.Kdr.high","Endothelial.cell.Tmem100.high","Endothelial.cell.Vwf.high","Eosinophil","IgA.producing.B.cell","Interstitial.macrophage","Monocyte.progenitor","Neutrophil","NK.cell","Nuocyte","Plasmacytoid.dendritic.cell","Stromal.cell.Acta2.high","Stromal.cell.Dcn.high","Stromal.cell.Inmt.high","T.cell.Cd8b1.high"
"Mfsd11",0.03125,0.028056112,0.055555556,0.018404908,0.02970297,0.007163324,0,0.018518519,0.012121212,0.01242236,0,0.02484472,0,0.010752688,0.009615385,0.013986014,0.040540541,0.003773585,0.033333333,0.03125,0,0,0.007272727,0.013245033,0.010169492,0,0.038251366,0.053892216,0.002173913
"Mfsd12",0,0.064128257,0.083333333,0.024539877,0.016831683,0.007163324,0,0.027777778,0.012121212,0.01242236,0,0.00621118,0,0.010752688,0.009615385,0.006993007,0,0,0.033333333,0.008928571,0,0,0,0.013245033,0.006779661,0,0.010928962,0.005988024,0.006521739
"Mfsd13a",0,0.028056112,0,0.012269939,0.017326733,0.001432665,0,0,0,0,0.047619048,0.00621118,0.033333333,0.016129032,0,0,0.013513514,0.003773585,0,0.004464286,0.076923077,0,0,0.006622517,0.003389831,0,0,0,0
"Mfsd13b",0,0.002004008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0,0,0,0.004464286,0,0,0,0.006622517,0,0,0,0,0
"Mfsd14a",0.03125,0.032064128,0.083333333,0.055214724,0.036633663,0.02722063,0,0.055555556,0.006060606,0.00621118,0,0.031055901,0,0.037634409,0.019230769,0.041958042,0.040540541,0.01509434,0.1,0.035714286,0,0,0.007272727,0.026490066,0.040677966,0.032258065,0.016393443,0.035928144,0.017391304
"Mfsd14b",0,0.080160321,0.111111111,0.036809816,0.032178218,0.011461318,0,0.074074074,0.03030303,0.074534161,0,0.02484472,0.066666667,0.016129032,0.038461538,0.020979021,0.040540541,0.018867925,0.033333333,0.026785714,0.076923077,0.114285714,0.04,0.01986755,0.061016949,0.016129032,0.043715847,0.065868263,0.015217391
"Mfsd2a",0,0,0,0.036809816,0.053465347,0.005730659,0,0.009259259,0.012121212,0.00621118,0,0,0,0,0.019230769,0,0,0.003773585,0,0.008928571,0,0,0,0,0.003389831,0,0.005464481,0.011976048,0.004347826
"Mfsd2b",0,0,0,0,0,0.001432665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006779661,0,0,0.005988024,0
"Mfsd3",0,0.006012024,0.027777778,0.006134969,0.002475248,0.00286533,0,0,0.012121212,0,0,0.00621118,0,0.005376344,0,0.006993007,0,0,0,0.004464286,0,0,0.003636364,0.006622517,0,0,0.027322404,0.005988024,0.002173913
"Mfsd4a",0,0,0,0,0.00049505,0,0,0,0.054545455,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0
"Mfsd4b1",0,0.002004008,0,0,0.000990099,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd4b4",0,0,0,0,0.002475248,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd5",0,0.092184369,0.25,0.079754601,0.027227723,0.015759312,0,0.064814815,0.036363636,0.043478261,0,0.02484472,0.066666667,0.02688172,0.076923077,0.048951049,0.040540541,0.011320755,0,0.044642857,0.076923077,0.028571429,0.047272727,0.026490066,0.027118644,0.032258065,0.06557377,0.05988024,0.017391304
"Mfsd6",0,0.002004008,0,0.030674847,0.038613861,0.007163324,0.071428571,0.12962963,0.024242424,0.01242236,0,0,0,0.010752688,0.028846154,0.006993007,0.027027027,0.01509434,0.066666667,0.013392857,0,0.014285714,0.014545455,0.01986755,0.027118644,0.064516129,0.021857923,0.011976048,0.017391304
"Mfsd6l",0,0,0,0.012269939,0.002970297,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mfsd7a",0,0.016032064,0,0.012269939,0.004455446,0.001432665,0,0,0,0,0,0,0,0,0.009615385,0,0,0,0,0,0,0,0,0.013245033,0.023728814,0,0.021857923,0,0.002173913
"Mfsd8",0,0.004008016,0,0.018404908,0.010891089,0.004297994,0,0.018518519,0.012121212,0.02484472,0,0,0,0.010752688,0.019230769,0.006993007,0.054054054,0.003773585,0,0.004464286,0,0.014285714,0,0.013245033,0.006779661,0,0,0.017964072,0.006521739
"Mfsd9",0,0.004008016,0.027777778,0.006134969,0.001485149,0,0,0,0.012121212,0,0,0,0,0,0,0,0.013513514,0.003773585,0,0,0,0,0,0,0.003389831,0,0,0,0.002173913
"Mga",0.03125,0.01002004,0.055555556,0.018404908,0.014356436,0.011461318,0,0.009259259,0.006060606,0,0,0.01242236,0,0.005376344,0.028846154,0.020979021,0.027027027,0.018867925,0,0.022321429,0,0,0,0.006622517,0.003389831,0.048387097,0.010928962,0.047904192,0.008695652
"Mgam",0,0,0,0,0.002475248,0,0,0,0,0,0,0,0,0,0,0,0,0.00754717,0,0,0,0.014285714,0,0,0,0,0.005464481,0,0
"Mgat1",0.0625,0.122244489,0.111111111,0.085889571,0.052475248,0.040114613,0,0.083333333,0.042424242,0.031055901,0,0.037267081,0.1,0.069892473,0.144230769,0.097902098,0.081081081,0.00754717,0.233333333,0.075892857,0.153846154,0.042857143,0.054545455,0.013245033,0.054237288,0.064516129,0.103825137,0.05988024,0.02173913
